date,day_night,year,month,season,count,is_workday,is_weekend,is_holiday,temp,temp_feel,humidity,wind_speed,weather_type
2015-01-04,day,2015,1,winter,6830,0,1,0,2.1666666666666665,-0.75,95.16666666666667,10.416666666666666,broken clouds
2015-01-04,night,2015,1,winter,2404,0,1,0,2.7916666666666665,2.0416666666666665,93.375,4.583333333333333,clear
2015-01-05,day,2015,1,winter,14763,1,0,0,8.958333333333334,7.708333333333333,81.08333333333333,8.666666666666666,broken clouds
2015-01-05,night,2015,1,winter,5609,1,0,0,7.125,5.708333333333333,79.54166666666667,9.041666666666666,cloudy
2015-01-06,day,2015,1,winter,14501,1,0,0,9,6.458333333333333,80.20833333333333,19.208333333333332,broken clouds
2015-01-06,night,2015,1,winter,6112,1,0,0,6.708333333333333,4.208333333333333,77.58333333333333,12.791666666666666,clear
2015-01-07,day,2015,1,winter,16358,1,0,0,8.166666666666666,5.083333333333333,75.20833333333333,21.25,scattered clouds
2015-01-07,night,2015,1,winter,4706,1,0,0,6.681818181818182,3.8636363636363638,81.27272727272727,18.136363636363637,clear
2015-01-08,day,2015,1,winter,9971,1,0,0,9.458333333333334,7.125,79.41666666666667,18.75,scattered clouds
2015-01-08,night,2015,1,winter,5630,1,0,0,10.041666666666666,8.458333333333334,79.20833333333333,22.208333333333332,clear
2015-01-09,day,2015,1,winter,16568,1,0,0,12.708333333333334,12.708333333333334,73.29166666666667,30.333333333333332,clear
2015-01-09,night,2015,1,winter,5536,1,0,0,12.75,11.958333333333334,76.41666666666667,35.5,broken clouds
2015-01-10,day,2015,1,winter,10413,0,1,0,11.291666666666666,9.75,64.33333333333333,37.875,broken clouds
2015-01-10,night,2015,1,winter,4296,0,1,0,9.666666666666666,7.666666666666667,67.91666666666667,30.75,clear
2015-01-11,day,2015,1,winter,11504,0,1,0,7.083333333333333,3,63,26.333333333333332,clear
2015-01-11,night,2015,1,winter,3071,0,1,0,6.208333333333333,1.9166666666666667,72.16666666666667,26.791666666666668,clear
2015-01-12,day,2015,1,winter,13005,1,0,0,11.458333333333334,10.541666666666666,76.83333333333333,29.833333333333332,rain
2015-01-12,night,2015,1,winter,4194,1,0,0,10.791666666666666,8.958333333333334,76.33333333333333,26.541666666666668,rain
2015-01-13,day,2015,1,winter,17769,1,0,0,8.75,5.583333333333333,72,21.208333333333332,scattered clouds
2015-01-13,night,2015,1,winter,6928,1,0,0,8.458333333333334,6.583333333333333,79.625,21.208333333333332,rain
2015-01-14,day,2015,1,winter,17885,1,0,0,5.875,1.7916666666666667,63.375,24.083333333333332,scattered clouds
2015-01-14,night,2015,1,winter,5680,1,0,0,7.125,3.1666666666666665,70.875,27.416666666666668,clear
2015-01-15,day,2015,1,winter,16713,1,0,0,8.791666666666666,5.25,65.29166666666667,26.875,scattered clouds
2015-01-15,night,2015,1,winter,6255,1,0,0,8.875,6,67.625,35.458333333333336,scattered clouds
2015-01-16,day,2015,1,winter,16976,1,0,0,6.5,3.5,67.41666666666667,16.458333333333332,scattered clouds
2015-01-16,night,2015,1,winter,5687,1,0,0,5.083333333333333,1.5833333333333333,65.04166666666667,18.458333333333332,clear
2015-01-17,day,2015,1,winter,11131,0,1,0,4.458333333333333,1.0416666666666667,71.375,16.166666666666668,clear
2015-01-17,night,2015,1,winter,4137,0,1,0,3.125,0.08333333333333333,78.83333333333333,11,clear
2015-01-18,day,2015,1,winter,9729,0,1,0,3.8333333333333335,2.125,83.75,8.375,scattered clouds
2015-01-18,night,2015,1,winter,3470,0,1,0,2.9583333333333335,1.7083333333333333,84.91666666666667,5.583333333333333,clear
2015-01-19,day,2015,1,winter,16621,1,0,0,3.1666666666666665,1.4166666666666667,75.66666666666667,6.875,scattered clouds
2015-01-19,night,2015,1,winter,6413,1,0,0,1.6666666666666667,0.16666666666666666,84.33333333333333,5.5,broken clouds
2015-01-20,day,2015,1,winter,16804,1,0,0,2.1666666666666665,-0.25,82.79166666666667,8.791666666666666,clear
2015-01-20,night,2015,1,winter,6443,1,0,0,1.9583333333333333,-0.08333333333333333,81.125,9.541666666666666,clear
2015-01-21,day,2015,1,winter,16102,1,0,0,3.0416666666666665,-0.875,86.5,16.916666666666668,broken clouds
2015-01-21,night,2015,1,winter,6680,1,0,0,3.0416666666666665,0.125,82.04166666666667,12.541666666666666,cloudy
2015-01-22,day,2015,1,winter,16816,1,0,0,3.5416666666666665,1.5416666666666667,68.625,8.916666666666666,broken clouds
2015-01-22,night,2015,1,winter,6462,1,0,0,1.625,0.5416666666666666,80.33333333333333,4.541666666666667,clear
2015-01-23,day,2015,1,winter,16728,1,0,0,2.5416666666666665,-0.3333333333333333,74.875,11.75,clear
2015-01-23,night,2015,1,winter,5164,1,0,0,2.875,0.2916666666666667,83.95833333333333,13.083333333333334,scattered clouds
2015-01-24,day,2015,1,winter,13578,0,1,0,5.791666666666667,2.25,67.5,19.583333333333332,clear
2015-01-24,night,2015,1,winter,3961,0,1,0,5.625,2.4166666666666665,77.95833333333333,16.541666666666668,clear
2015-01-25,day,2015,1,winter,11290,0,1,0,5.958333333333333,2.7916666666666665,73.20833333333333,16.833333333333332,broken clouds
2015-01-25,night,2015,1,winter,3804,0,1,0,5.083333333333333,1.8333333333333333,81.54166666666667,15.5,clear
2015-01-26,day,2015,1,winter,16215,1,0,0,9.375,6.625,72.41666666666667,20.25,scattered clouds
2015-01-26,night,2015,1,winter,6495,1,0,0,7.75,4.833333333333333,78,17.666666666666668,clear
2015-01-27,day,2015,1,winter,17744,1,0,0,7.5,4.833333333333333,71.83333333333333,15.291666666666666,broken clouds
2015-01-27,night,2015,1,winter,7256,1,0,0,6.416666666666667,3.4583333333333335,72.91666666666667,15.291666666666666,clear
2015-01-28,day,2015,1,winter,14991,1,0,0,8.166666666666666,4.333333333333333,72.04166666666667,32.875,rain
2015-01-28,night,2015,1,winter,6545,1,0,0,5.791666666666667,1.5,70,25.416666666666668,clear
2015-01-29,day,2015,1,winter,15514,1,0,0,4.625,-0.25,71.25,26.875,scattered clouds
2015-01-29,night,2015,1,winter,5761,1,0,0,2.9166666666666665,-2.25,75.79166666666667,26.25,scattered clouds
2015-01-30,day,2015,1,winter,15551,1,0,0,4.25,0.5833333333333334,78.5,17,broken clouds
2015-01-30,night,2015,1,winter,5620,1,0,0,3.7083333333333335,-0.20833333333333334,75.66666666666667,17.958333333333332,clear
2015-01-31,day,2015,1,winter,6485,0,1,0,3.625,-0.4583333333333333,83.20833333333333,19,rain
2015-01-31,night,2015,1,winter,3765,0,1,0,3.2083333333333335,-1.375,72.625,21.25,clear
2015-02-01,day,2015,2,winter,8281,0,1,0,4.75,-0.125,64.20833333333333,28.458333333333332,broken clouds
2015-02-01,night,2015,2,winter,3024,0,1,0,2.8333333333333335,-1.6666666666666667,69.79166666666667,21.083333333333332,clear
2015-02-02,day,2015,2,winter,15461,1,0,0,1.8333333333333333,-2.0833333333333335,62.166666666666664,14.5,clear
2015-02-02,night,2015,2,winter,6179,1,0,0,0.6666666666666666,-2.7083333333333335,67.54166666666667,10.75,clear
2015-02-03,day,2015,2,winter,14052,1,0,0,2.625,-0.875,84.75,13.958333333333334,broken clouds
2015-02-03,night,2015,2,winter,5817,1,0,0,1.7083333333333333,-1.2083333333333333,86.25,9.708333333333334,snowfall
2015-02-04,day,2015,2,winter,15655,1,0,0,3.375,-0.2916666666666667,78.125,15.916666666666666,broken clouds
2015-02-04,night,2015,2,winter,6195,1,0,0,2.375,-0.75,83.25,12.333333333333334,broken clouds
2015-02-05,day,2015,2,winter,14660,1,0,0,3.375,-0.4583333333333333,77.54166666666667,16.708333333333332,scattered clouds
2015-02-05,night,2015,2,winter,6540,1,0,0,2.4166666666666665,-1.375,78.66666666666667,15.333333333333334,scattered clouds
2015-02-06,day,2015,2,winter,15766,1,0,0,3.625,-0.9583333333333334,64.875,22.25,scattered clouds
2015-02-06,night,2015,2,winter,5189,1,0,0,1.75,-2.375,74.83333333333333,16.291666666666668,clear
2015-02-07,day,2015,2,winter,9393,0,1,0,4.333333333333333,1.75,81.95833333333333,11.75,broken clouds
2015-02-07,night,2015,2,winter,3756,0,1,0,3.1666666666666665,0.2916666666666667,84.08333333333333,10.875,clear
2015-02-08,day,2015,2,winter,12248,0,1,0,6.125,4.083333333333333,73,9.666666666666666,scattered clouds
2015-02-08,night,2015,2,winter,3530,0,1,0,4.75,2.2083333333333335,79.41666666666667,10.833333333333334,clear
2015-02-09,day,2015,2,winter,17346,1,0,0,7.166666666666667,5.291666666666667,75.58333333333333,9.75,scattered clouds
